Nro_Veces_cob;Estado_Credit;Nro_Cuotas;Mes_pres;MES_0_Atraso;MES_1_Atraso;MES_2_Atraso;Llamada_fecha;Hora;Llamada_Resultado;Deuda_total;Estatus;Activación;Tipo_contacto;Cod_cliente;Mora
<=10;0;<24, 48];Febrero;246.37;205;246.49;13/02/2014;20;TELF. NO CORRESPONDE;4002.98;BT;2012;CNE;C02829;0
>10;0;<24, 48];Febrero;442.76;443.78;444.27;7/02/2014;9;TELF. NO CORRESPONDE;4877.13;BT;2011;CNE;C02831;0
<=10;0;>48;Febrero;532.81;528.19;0;20/02/2014;7;PDP  Promesa De Pago;15264.4;BT;2013;CEF;C02832;0
<=10;0;<24, 48];Febrero;1204.67;0;0;12/02/2014;13;MCT  Msj Con Terceros;30333.4;BT;2012;CNE;C02833;0
>10;0;<24, 48];Febrero;3159.47;0;0;14/02/2014;20;RPP  Recordar Promesa;18161;BT;2012;CEF;C02834;1
<=10;0;<24, 48];Febrero;730.45;173.49;71.68;10/02/2014;8;PAR  Promesa Parcial;15953;BT;2013;CEF;C02835;0
>10;0;<24, 48];Febrero;388.26;0;586.25;3/02/2014;10;TELF. NO CORRESPONDE;7716.86;BT;2011;CNE;C02836;0
<=10;0;<24, 48];Febrero;680.43;680.43;0;28/02/2014;11;MCT  Msj Con Terceros;12523.8;BT;2013;CNE;C02837;1
<=10;0;<=24;Febrero;679.35;0;0;26/02/2014;8;MCT  Msj Con Terceros;1247.75;BT;2012;CNE;C02838;1
<=10;0;<24, 48];Febrero;268.7;581.52;896.46;25/02/2014;7;MCT  Msj Con Terceros;6121.28;BT;2013;CNE;C02839;0
<=10;0;<24, 48];Febrero;240.16;246.69;254.24;3/02/2014;15;TAT  Tratamiento al Titu;3723.67;BT;2012;CEF;C02840;0
<=10;0;<24, 48];Febrero;1636.92;0;365.81;28/02/2014;19;MCT  Msj Con Terceros;23993.4;BT;2013;CNE;C02842;1
<=10;1;<24, 48];Febrero;568.05;570.07;0;13/02/2014;16;MCT  Msj Con Terceros;18613.6;BT;2013;CNE;C02843;0
>10;0;<24, 48];Febrero;282.25;475.79;0;13/02/2014;9;TELF. NO CORRESPONDE;6383.62;BT;2011;CNE;C02844;0
<=10;0;<24, 48];Febrero;148.91;0;0;6/02/2014;9;MCT  Msj Con Terceros;2728.53;BT;2013;CNE;C02845;0
<=10;0;>48;Febrero;569.54;0;0;13/02/2014;9;MCF  Msj Con Familiar;10436.9;BT;2011;CNE;C02846;0
>10;0;>48;Febrero;242.61;234.17;245.44;24/02/2014;16;TELF. NO CORRESPONDE;4411;BT;2011;CNE;C02847;0
<=10;0;<24, 48];Febrero;330.71;665.04;0;18/02/2014;9;MCT  Msj Con Terceros;8385.45;BT;2013;CNE;C02849;0
>10;0;<24, 48];Febrero;179.32;0;253.32;3/02/2014;15;MCT  Msj Con Terceros;3985.2;BT;2012;CNE;C02850;0
>10;0;<24, 48];Febrero;271.64;271.7;271.77;17/02/2014;11;MCO  Msj Con Conyuge;4133.77;BT;2011;CEF;C02851;0
>10;0;<24, 48];Febrero;296.64;0;0;13/02/2014;9;MCF  Msj Con Familiar;4647.71;BT;2012;CNE;C02852;0
>10;0;<24, 48];Febrero;543.13;0;0;17/02/2014;14;MCF  Msj Con Familiar;8819.03;BT;2012;CNE;C02855;0
<=10;0;<24, 48];Febrero;351.54;726.72;1107.17;20/02/2014;12;TAT  Tratamiento al Titu;10449.9;BT;2013;CEF;C02856;0
<=10;0;<24, 48];Febrero;657.72;988.5;0;12/02/2014;13;MCT  Msj Con Terceros;8914.64;BT;2013;CNE;C02858;1
<=10;0;>48;Febrero;3653.21;4490.78;0;25/02/2014;14;TAT  Tratamiento al Titu;38541.2;BT;2013;CEF;C02859;1
<=10;0;<24, 48];Febrero;839.33;1131.62;0;26/02/2014;12;PPR;5730.95;BT;2013;CEF;C02861;1
<=10;0;>48;Febrero;480.67;0;0;5/02/2014;13;MCF  Msj Con Familiar;4383.58;BT;2013;CNE;C02863;1
<=10;0;>48;Febrero;1194.67;0;0;10/02/2014;12;TELF. NO CORRESPONDE;15080.9;BT;2012;CNE;C02864;1
<=10;0;<24, 48];Febrero;4876.55;0;0;18/02/2014;14;MCT  Msj Con Terceros;44653.9;BT;2013;CNE;C02865;1
<=10;0;<24, 48];Febrero;414.74;254.31;403.78;6/02/2014;16;TELF. NO CORRESPONDE;10034.7;BT;2013;CNE;C02866;0
<=10;0;>48;Febrero;683.46;684.06;685.3;21/02/2014;15;PDP  Promesa De Pago;15934.3;BT;2012;CEF;C02869;0
>10;0;>48;Febrero;1259.75;1897.53;0;18/02/2014;7;MCT  Msj Con Terceros;14389.9;BT;2012;CNE;C02870;1
>10;0;<24, 48];Febrero;240.04;240.79;240.57;26/02/2014;9;MCT  Msj Con Terceros;3632.16;BT;2012;CNE;C02871;0
<=10;0;>48;Febrero;786.41;0;0;3/02/2014;17;TELF. NO CORRESPONDE;9094.24;BT;2011;CNE;C02872;0
>10;0;<24, 48];Febrero;1650.64;0;0;6/02/2014;10;MCT  Msj Con Terceros;9615.35;BT;2010;CNE;C02873;1
>10;0;<24, 48];Febrero;1650.64;0;0;10/02/2014;17;MCT  Msj Con Terceros;9615.35;BT;2010;CNE;C02874;1
>10;0;<24, 48];Febrero;154.74;0;0;10/02/2014;16;MCC  Msj Con Comp De Trab;5417.3;BT;2011;CNE;C02875;1
>10;0;<24, 48];Febrero;154.74;0;0;12/02/2014;12;MCT  Msj Con Terceros;5417.3;BT;2011;CNE;C02876;1
<=10;0;<24, 48];Febrero;529.65;1.69;526.97;17/02/2014;7;MCT  Msj Con Terceros;9901.73;BT;2013;CNE;C02878;0
<=10;0;>48;Febrero;607.85;0;189.48;3/02/2014;16;TELF. NO CORRESPONDE;18166.6;BT;2013;CNE;C02879;0
>10;0;>48;Febrero;1653.31;0;324.09;13/02/2014;20;TELF. NO CORRESPONDE;55564.3;BT;2012;CNE;C02880;0
>10;0;>48;Febrero;759.69;762.5;682.64;13/02/2014;11;TELF. NO CORRESPONDE;10334.2;BT;2011;CNE;C02881;0
<=10;0;>48;Febrero;1451.22;0;423.1;5/02/2014;15;CAN  Cliente Cancelo;19821;BT;2013;CNE;C02883;1
>10;0;<24, 48];Febrero;663.18;664.63;658.93;4/02/2014;8;TAT  Tratamiento al Titu;13791.5;BT;2012;CEF;C02884;0
>10;0;<24, 48];Febrero;663.18;664.63;658.93;12/02/2014;12;TAT sin contacto con Titular;13791.5;BT;2012;CNE;C02885;0
<=10;1;>48;Febrero;756.34;1541.8;756.04;11/02/2014;10;MCT  Msj Con Terceros;13813;BT;2011;CNE;C02886;0
>10;0;>48;Febrero;408.37;1170.67;1165.31;4/02/2014;8;MCT  Msj Con Terceros;14789.7;BT;2011;CNE;C02887;1
<=10;0;<=24;Febrero;47.29;0;0;7/02/2014;7;PDP  Promesa De Pago;1731.19;BT;2012;CEF;C02888;0
<=10;0;<24, 48];Febrero;2305.97;0;0;26/02/2014;8;MCT  Msj Con Terceros;20515;BT;2013;CNE;C02890;1
>10;0;<24, 48];Febrero;123.64;651.18;1095.72;7/02/2014;7;TELF. NO CORRESPONDE;19009.7;BT;2011;CNE;C02893;0
<=10;0;<24, 48];Febrero;348.65;348.65;0;20/02/2014;10;MCF  Msj Con Familiar;4922.87;BT;2011;CNE;C02894;0
<=10;0;<24, 48];Febrero;348.65;348.65;0;26/02/2014;10;MCF  Msj Con Familiar;4922.87;BT;2011;CNE;C02895;0
<=10;0;<24, 48];Febrero;230.48;228.77;232.68;17/02/2014;7;TELF. NO CORRESPONDE;3037.76;BT;2012;CNE;C02896;0
<=10;0;>48;Febrero;859.02;1725.94;0;20/02/2014;10;MCT  Msj Con Terceros;24734.5;BT;2013;CNE;C02897;0
<=10;0;>48;Febrero;859.02;1725.94;0;26/02/2014;14;MCF  Msj Con Familiar;24734.5;BT;2013;CNE;C02898;0
<=10;0;>48;Febrero;859.02;1725.94;0;28/02/2014;8;TELF. NO CORRESPONDE;24734.5;BT;2013;CNE;C02899;0
<=10;0;>48;Febrero;859.02;1725.94;0;6/02/2014;12;TAT  Tratamiento al Titu;24734.5;BT;2013;CEF;C02900;0
>10;0;>48;Febrero;120.89;120.97;121;5/02/2014;8;MCT  Msj Con Terceros;1486.35;BT;2011;CNE;C02901;0
<=10;0;<24, 48];Febrero;1898.43;0;0;18/02/2014;15;MCF  Msj Con Familiar;12572.7;BT;2011;CNE;C02902;1
>10;0;<24, 48];Febrero;366.64;366.16;362.61;7/02/2014;8;TELF. NO CORRESPONDE;1042.37;BT;2011;CNE;C02903;0
<=10;0;<24, 48];Febrero;1273.56;0;0;20/02/2014;11;MCC  Msj Con Comp De Trab;18064.6;BT;2013;CNE;C02904;1
<=10;0;<24, 48];Febrero;2479.12;0;0;5/02/2014;17;MCT  Msj Con Terceros;24952.8;BT;2012;CNE;C02905;1
<=10;0;>48;Febrero;1219.04;0;0;14/02/2014;9;TAT  Tratamiento al Titu;4069.57;BT;2010;CEF;C02906;1
<=10;0;<24, 48];Febrero;990.14;0;0;6/02/2014;16;MCT  Msj Con Terceros;28213.8;BT;2013;CNE;C02907;0
>10;0;<24, 48];Febrero;804.7;939.91;108.24;3/02/2014;10;PDP  Promesa De Pago;22292;BT;2012;CEF;C02909;0
<=10;0;<24, 48];Febrero;1409.41;0;0;20/02/2014;17;MCT  Msj Con Terceros;12255.2;BT;2013;CNE;C02910;1
<=10;0;<=24;Febrero;1647.43;605.73;1218.41;26/02/2014;14;MCF  Msj Con Familiar;10177.2;BT;2013;CNE;C02911;1
<=10;0;>48;Febrero;3133.46;0;0;27/02/2014;18;MCT  Msj Con Terceros;32661.3;BT;2013;CNE;C02912;1
<=10;0;<24, 48];Febrero;1126.33;0;0;14/02/2014;19;TAT  Tratamiento al Titu;10446.3;BT;2013;CEF;C02913;1
<=10;0;<24, 48];Febrero;248.47;329.63;164.38;24/02/2014;16;MCF  Msj Con Familiar;2891.52;BT;2012;CNE;C02914;1
<=10;0;<24, 48];Febrero;248.47;329.63;164.38;25/02/2014;13;MCF  Msj Con Familiar;2891.52;BT;2012;CNE;C02915;1
<=10;0;<24, 48];Febrero;356.02;356.02;0;28/02/2014;9;MCT  Msj Con Terceros;9343.63;BT;2013;CNE;C02917;0
<=10;0;<=24;Febrero;92.65;188.08;377.94;10/02/2014;7;TAT  Tratamiento al Titu;2689.35;BT;2013;CEF;C02918;0
<=10;0;<24, 48];Febrero;566.45;0;0;4/02/2014;17;MCE  Msj Con Empleada;14458.9;BT;2012;CNE;C02919;0
<=10;0;<24, 48];Febrero;566.45;0;0;10/02/2014;9;MCF  Msj Con Familiar;14458.9;BT;2012;CNE;C02920;0
<=10;0;>48;Febrero;407.92;0;0;11/02/2014;8;TELF. NO CORRESPONDE;9920.25;BT;2013;CNE;C02922;1
<=10;0;<24, 48];Febrero;1297.78;0;0;5/02/2014;8;MCT  Msj Con Terceros;9145.02;BT;2013;CNE;C02923;1
<=10;0;>48;Febrero;502.72;0;0;3/02/2014;8;MCT  Msj Con Terceros;12574.9;BT;2013;CNE;C02924;0
<=10;0;<24, 48];Febrero;650.47;619.57;617.13;12/02/2014;12;PAR  Promesa Parcial;8684.43;BT;2011;CEF;C02925;0
<=10;0;<24, 48];Febrero;627.06;1321.46;0;12/02/2014;12;TAT  Tratamiento al Titu;20149;BT;2012;CEF;C02927;1
>10;0;<24, 48];Febrero;612.29;1978.9;2263.14;7/02/2014;11;MCT  Msj Con Terceros;33222.4;BT;2011;CNE;C02928;0
<=10;0;<24, 48];Febrero;866.99;0;0;7/02/2014;20;MCT  Msj Con Terceros;8899.63;BT;2012;CNE;C02929;1
<=10;0;<=24;Febrero;555.38;261.51;0;3/02/2014;9;TAT  Tratamiento al Titu;555.67;BT;2013;CEF;C02930;1
<=10;0;<24, 48];Febrero;2377.84;0;0;6/02/2014;15;RPP  Recordar Promesa;21615.2;BT;2013;CEF;C02932;1
>10;0;<24, 48];Febrero;628.08;672.83;627.82;14/02/2014;7;PDP  Promesa De Pago;6439.85;BT;2010;CEF;C02933;0
>10;0;<24, 48];Febrero;2531.77;0;0;19/02/2014;18;PAR  Promesa Parcial;17017.9;BT;2012;CEF;C02937;1
<=10;0;<24, 48];Febrero;301.29;0;0;5/02/2014;11;TELF. NO CORRESPONDE;13216.3;BT;2013;CNE;C02938;0
<=10;0;<24, 48];Febrero;571.22;561.78;562.02;3/02/2014;8;MCF  Msj Con Familiar;10527.3;BT;2013;CNE;C02939;0
>10;0;>48;Febrero;975.69;1503.49;0;12/02/2014;14;PDP  Promesa De Pago;19783.1;BT;2011;CEF;C02940;0
<=10;0;<24, 48];Febrero;1136.31;0;0;11/02/2014;8;PDP  Promesa De Pago;7750.12;BT;2013;CEF;C02941;1
<=10;0;<24, 48];Febrero;354.08;0;545.96;5/02/2014;17;TAT  Tratamiento al Titu;13628.6;BT;2013;CEF;C02943;0
<=10;0;<24, 48];Febrero;354.08;0;545.96;3/02/2014;11;CIH  Generar Cita;13628.6;BT;2013;CNE;C02944;0
<=10;0;<24, 48];Febrero;354.08;0;545.96;7/02/2014;9;CIH  Generar Cita;13628.6;BT;2013;CNE;C02945;0
>10;0;<24, 48];Febrero;303.93;547.9;0;3/02/2014;12;TELF. NO CORRESPONDE;13721.6;BT;2011;CNE;C02946;0
<=10;0;>48;Febrero;2039.22;0;0;7/02/2014;7;MCO  Msj Con Conyuge;33717.1;BT;2010;CEF;C02948;0
<=10;0;>48;Febrero;2039.22;0;0;6/02/2014;7;MCF  Msj Con Familiar;33717.1;BT;2010;CNE;C02949;0
>10;0;<24, 48];Febrero;303.2;607.81;306.94;12/02/2014;16;TAT  Tratamiento al Titu;1494.54;BT;2011;CEF;C02950;0
>10;0;<24, 48];Febrero;1691.43;848.46;1693.96;11/02/2014;7;PDP  Promesa De Pago;41868.7;BT;2012;CEF;C02952;0
>10;0;<24, 48];Febrero;1691.43;848.46;1693.96;25/02/2014;11;PDP  Promesa De Pago;41868.7;BT;2012;CEF;C02953;0
>10;0;<24, 48];Febrero;1415.2;1418.21;0;10/02/2014;11;TAT  Tratamiento al Titu;31804;BT;2012;CEF;C02954;0
>10;0;<=24;Febrero;70.46;0;0;6/02/2014;15;PDP  Promesa De Pago;20369.8;BT;2012;CEF;C02955;0
<=10;0;>48;Febrero;1480.06;1491.15;1509.31;4/02/2014;17;MCT  Msj Con Terceros;46894.9;BT;2012;CNE;C02956;0
>10;0;<24, 48];Febrero;419.79;418.11;415.89;10/02/2014;7;MCT  Msj Con Terceros;2823.36;BT;2011;CNE;C02957;0
>10;0;<24, 48];Febrero;1536.77;0;0;4/02/2014;11;MCF  Msj Con Familiar;7883.01;BT;2012;CNE;C02961;1
>10;0;<24, 48];Febrero;1536.77;0;0;6/02/2014;11;MCT  Msj Con Terceros;7883.01;BT;2012;CNE;C02962;1
>10;0;<24, 48];Febrero;1536.77;0;0;7/02/2014;11;MCT  Msj Con Terceros;7883.01;BT;2012;CNE;C02963;1
<=10;0;<=24;Febrero;593.25;0;0;17/02/2014;7;CIH  Generar Cita;579.273;BT;2014;CNE;C02964;0
>10;0;>48;Febrero;152.46;0;0;5/02/2014;16;PDP  Promesa De Pago;4162.02;BT;2011;CEF;C02965;0
<=10;0;<24, 48];Febrero;608.95;915.38;915.38;5/02/2014;9;PDP  Promesa De Pago;6006.18;BT;2013;CEF;C02966;1
<=10;0;>48;Febrero;1479.94;479.95;479.95;13/02/2014;12;MCF  Msj Con Familiar;75634.7;BT;2013;CNE;C02967;0
<=10;0;>48;Febrero;1479.94;479.95;479.95;19/02/2014;16;MCT  Msj Con Terceros;75634.7;BT;2013;CNE;C02968;0
<=10;0;<=24;Febrero;165.79;0;0;12/02/2014;11;PDP  Promesa De Pago;1743.65;BT;2013;CEF;C02969;0
>10;0;<24, 48];Febrero;1264.28;0;0;10/02/2014;7;MCT  Msj Con Terceros;7452.32;BT;2012;CNE;C02970;1
>10;0;<24, 48];Febrero;316.87;639.86;645.23;27/02/2014;7;PDP  Promesa De Pago;5613.95;BT;2013;CEF;C02971;0
>10;0;<24, 48];Febrero;1264.69;0;0;5/02/2014;9;MCT  Msj Con Terceros;7348.21;BT;2011;CNE;C02972;1
<=10;0;<=24;Febrero;597.34;798.73;0;13/02/2014;19;MCO  Msj Con Conyuge;2982.54;BT;2013;CEF;C02973;1
>10;0;>48;Febrero;1747.71;0;0;26/02/2014;18;MCO  Msj Con Conyuge;19667.6;BT;2012;CEF;C02975;1
>10;0;<24, 48];Febrero;160.98;169.77;140.77;11/02/2014;9;MCF  Msj Con Familiar;2015.24;BT;2011;CNE;C02976;0
>10;0;<24, 48];Febrero;160.98;169.77;140.77;13/02/2014;15;MCT  Msj Con Terceros;2015.24;BT;2011;CNE;C02977;0
>10;0;<24, 48];Febrero;555.92;0;0;4/02/2014;10;PDP  Promesa De Pago;5138.18;BT;2011;CEF;C02979;0
<=10;0;<24, 48];Febrero;422.98;849.43;1275.88;21/02/2014;11;PAR  Promesa Parcial;6391.43;BT;2012;CEF;C02980;0
<=10;0;>48;Febrero;550.65;0;0;6/02/2014;16;PDP  Promesa De Pago;58166.8;BT;2011;CEF;C02983;0
<=10;0;<=24;Febrero;765.07;482.19;34.81;11/02/2014;9;TELF. NO CORRESPONDE;8489.96;BT;2013;CNE;C02986;0
>10;0;<24, 48];Febrero;2191.63;615.1;1204.94;7/02/2014;16;TELF. NO CORRESPONDE;23339.8;BT;2012;CNE;C02987;1
>10;0;<24, 48];Febrero;2191.63;615.1;1204.94;11/02/2014;18;TELF. NO CORRESPONDE;23339.8;BT;2012;CNE;C02988;1
<=10;0;<24, 48];Febrero;554.13;553.93;557.33;11/02/2014;13;MCT  Msj Con Terceros;15171.3;BT;2012;CNE;C02989;0
>10;0;<24, 48];Febrero;3345.78;0;3432.44;18/02/2014;14;TAT  Tratamiento al Titu;17773.5;BT;2012;CEF;C02991;1
<=10;0;>48;Febrero;637.44;630.72;632.22;10/02/2014;10;MCT  Msj Con Terceros;15281.5;BT;2013;CNE;C02992;0
>10;0;<=24;Febrero;570.67;457.21;165;4/02/2014;19;TAT  Tratamiento al Titu;569.34;BT;2012;CEF;C02997;0
>10;0;<=24;Febrero;570.67;457.21;165;12/02/2014;7;TAT  Tratamiento al Titu;569.34;BT;2012;CEF;C02998;0
<=10;0;<=24;Febrero;91.47;0;0;4/02/2014;9;MCT  Msj Con Terceros;1543.75;BT;2013;CNE;C02999;0
>10;0;<24, 48];Febrero;578.61;579.56;286.75;21/02/2014;14;PDP  Promesa De Pago;3807.31;BT;2011;CEF;C03000;0
>10;0;>48;Febrero;1083.36;0;0;11/02/2014;8;PDP  Promesa De Pago;20214.2;BT;2011;CEF;C03003;0
>10;0;>48;Febrero;1183.24;582.45;582.39;3/02/2014;9;MCF  Msj Con Familiar;13322.5;BT;2012;CNE;C03004;0
>10;0;<=24;Febrero;533.08;806.4;1083.2;4/02/2014;9;MCT  Msj Con Terceros;2237.87;BT;2012;CNE;C03005;1
<=10;0;<24, 48];Febrero;1094.54;0;0;10/02/2014;19;MCT  Msj Con Terceros;8903.82;BT;2013;CNE;C03007;1
<=10;0;<24, 48];Febrero;1094.54;0;0;20/02/2014;19;TELF. NO CORRESPONDE;8903.82;BT;2013;CNE;C03008;1
<=10;0;<24, 48];Febrero;826.5;1177.42;2019.56;24/02/2014;7;PDP  Promesa De Pago;19197.5;BT;2013;CEF;C03009;0
>10;0;<24, 48];Febrero;676.08;685.32;685.32;6/02/2014;19;TAT  Tratamiento al Titu;11969;BT;2012;CEF;C03010;0
>10;0;<24, 48];Febrero;676.08;685.32;685.32;12/02/2014;10;MCF  Msj Con Familiar;11969;BT;2012;CNE;C03011;0
<=10;0;<24, 48];Febrero;356.93;536.62;536.62;4/02/2014;9;TAT  Tratamiento al Titu;3539.79;BT;2013;CEF;C03012;0
<=10;0;<=24;Febrero;82.13;0;146.26;4/02/2014;9;MCT  Msj Con Terceros;2687.45;BT;2013;CNE;C03013;0
>10;0;<24, 48];Febrero;1096.84;1096.84;0;10/02/2014;7;MCE  Msj Con Empleada;11663.2;BT;2012;CNE;C03014;1
>10;0;<24, 48];Febrero;1096.84;1096.84;0;10/02/2014;13;MCF  Msj Con Familiar;11663.2;BT;2012;CNE;C03015;1
>10;0;<24, 48];Febrero;273.86;0;0;13/02/2014;8;MCT  Msj Con Terceros;2880.2;BT;2012;CNE;C03017;0
>10;0;>48;Febrero;780.26;958.1;880.35;21/02/2014;16;PDP  Promesa De Pago;55337.5;BT;2012;CEF;C03018;0
<=10;0;>48;Febrero;440.4;0;0;10/02/2014;9;PDP  Promesa De Pago;13341.2;BT;2013;CEF;C03019;0
<=10;0;>48;Febrero;1468.85;14.56;1457.48;5/02/2014;10;PDP  Promesa De Pago;47750.7;BT;2012;CEF;C03020;0
<=10;0;>48;Febrero;2371.28;3362.27;0;4/02/2014;14;MCO  Msj Con Conyuge;23206.3;BT;2012;CEF;C03021;1
<=10;0;>48;Febrero;2371.28;3362.27;0;6/02/2014;13;MCO  Msj Con Conyuge;23206.3;BT;2012;CEF;C03022;1
<=10;0;>48;Febrero;2371.28;3362.27;0;7/02/2014;9;MCF  Msj Con Familiar;23206.3;BT;2012;CNE;C03023;1
>10;0;<24, 48];Febrero;243.33;487.41;734.38;14/02/2014;9;TELF. NO CORRESPONDE;2804.43;BT;2012;CNE;C03024;0
<=10;0;<24, 48];Febrero;612.71;305.21;766;4/02/2014;19;TELF. NO CORRESPONDE;1290.15;BT;2011;CNE;C03025;1
<=10;0;<24, 48];Febrero;612.71;305.21;766;12/02/2014;12;MCT  Msj Con Terceros;1290.15;BT;2011;CNE;C03026;1
<=10;0;<24, 48];Febrero;128.49;0;0;10/02/2014;15;TAT  Tratamiento al Titu;3022.78;BT;2013;CEF;C03027;0
<=10;0;<24, 48];Febrero;225.56;451.81;449.29;17/02/2014;11;PAR  Promesa Parcial;3779.86;BT;2012;CEF;C03028;0
<=10;0;<24, 48];Febrero;225.56;451.81;449.29;12/02/2014;8;MCT  Msj Con Terceros;3779.86;BT;2012;CNE;C03029;0
>10;0;<24, 48];Febrero;2176.63;0;0;14/02/2014;11;RPP  Recordar Promesa;22296.5;BT;2011;CEF;C03030;1
>10;0;<24, 48];Febrero;2176.63;0;0;20/02/2014;8;TAT  Tratamiento al Titu;22296.5;BT;2011;CEF;C03031;1
<=10;0;<24, 48];Febrero;1414.43;0;0;5/02/2014;13;MCF  Msj Con Familiar;15930.3;BT;2012;CNE;C03032;1
>10;0;<24, 48];Febrero;177.22;177.69;355.85;11/02/2014;19;MCT  Msj Con Terceros;1004.54;BT;2011;CNE;C03033;0
<=10;0;<24, 48];Febrero;231.83;0;231.85;18/02/2014;14;MCT  Msj Con Terceros;5737.77;BT;2013;CNE;C03035;0
<=10;1;<24, 48];Febrero;847.28;1699.43;2561.64;13/02/2014;15;TAT  Tratamiento al Titu;16486.4;BT;2012;CEF;C03036;0
<=10;0;>48;Febrero;343.54;244.43;588.79;5/02/2014;7;MCT  Msj Con Terceros;8516.9;BT;2013;CNE;C03038;0
<=10;0;>48;Febrero;343.54;244.43;588.79;26/02/2014;10;MCT  Msj Con Terceros;8516.9;BT;2013;CNE;C03039;0
<=10;0;>48;Febrero;1997.11;1979.67;1979.67;14/02/2014;8;MCT  Msj Con Terceros;79489;BT;2013;CNE;C03040;0
<=10;0;<24, 48];Febrero;838.15;414.26;833.86;25/02/2014;12;MCF  Msj Con Familiar;9279.25;BT;2013;CNE;C03043;1
>10;0;<24, 48];Febrero;1052.74;1052.74;1053.39;3/02/2014;8;TELF. NO CORRESPONDE;21392.7;BT;2011;CNE;C03044;0
<=10;0;<24, 48];Febrero;1023.53;2056.23;1036;3/02/2014;9;MCT  Msj Con Terceros;19387.6;BT;2011;CNE;C03045;0
<=10;0;<24, 48];Febrero;1023.53;2056.23;1036;5/02/2014;17;TELF. NO CORRESPONDE;19387.6;BT;2011;CNE;C03046;0
<=10;0;<24, 48];Febrero;503.7;503.22;0;6/02/2014;8;TAT  Tratamiento al Titu;12447.9;BT;2012;CEF;C03048;1
<=10;0;<24, 48];Febrero;503.7;503.22;0;11/02/2014;19;PDP  Promesa De Pago;12447.9;BT;2012;CEF;C03049;1
<=10;0;<=24;Febrero;875.23;0;0;20/02/2014;15;MCF  Msj Con Familiar;874.27;BT;2014;CNE;C03050;0
>10;0;>48;Febrero;252.67;449.4;0;3/02/2014;7;MCO  Msj Con Conyuge;14301.2;BT;2011;CEF;C03051;0
<=10;0;<24, 48];Febrero;56.14;0;0;6/02/2014;9;MCT  Msj Con Terceros;3689.61;BT;2013;CNE;C03052;0
<=10;0;<=24;Febrero;195.26;0;0;14/02/2014;7;TAT  Tratamiento al Titu;1219.98;BT;2013;CEF;C03053;0
<=10;0;<24, 48];Febrero;729.61;0;0;5/02/2014;12;MCF  Msj Con Familiar;12241;BT;2012;CNE;C03054;0
<=10;0;<24, 48];Febrero;567;211.69;0;6/02/2014;10;PDP  Promesa De Pago;24319.7;BT;2013;CEF;C03059;0
>10;0;<24, 48];Febrero;123.02;121.25;119.28;5/02/2014;7;PDP  Promesa De Pago;704.26;BT;2012;CEF;C03060;0
>10;0;<24, 48];Febrero;123.02;121.25;119.28;19/02/2014;9;MCO  Msj Con Conyuge;704.26;BT;2012;CEF;C03061;0
>10;0;<24, 48];Febrero;123.02;121.25;119.28;24/02/2014;11;MCO  Msj Con Conyuge;704.26;BT;2012;CEF;C03062;0
>10;0;<24, 48];Febrero;123.02;121.25;119.28;17/02/2014;8;MCT  Msj Con Terceros;704.26;BT;2012;CNE;C03063;0
>10;0;<24, 48];Febrero;123.02;121.25;119.28;20/02/2014;9;MCT  Msj Con Terceros;704.26;BT;2012;CNE;C03064;0
<=10;0;<24, 48];Febrero;652.91;0;0;5/02/2014;11;MCT  Msj Con Terceros;19613.4;BT;2013;CNE;C03065;0
>10;0;<24, 48];Febrero;261.88;264.79;134.99;5/02/2014;17;TAT sin contacto con Titular;16521.5;BT;2012;CNE;C03066;0
>10;0;<24, 48];Febrero;261.88;264.79;134.99;6/02/2014;11;TAT  Tratamiento al Titu;16521.5;BT;2012;CEF;C03067;0
>10;0;<24, 48];Febrero;261.88;264.79;134.99;10/02/2014;13;PAR  Promesa Parcial;16521.5;BT;2012;CEF;C03068;0
<=10;0;<24, 48];Febrero;246.39;0;0;3/02/2014;14;TELF. NO CORRESPONDE;17864.1;BT;2013;CNE;C03069;0
<=10;0;<=24;Febrero;812.93;0;0;11/02/2014;17;IPP  Inbound Promesa Par;6147.68;BT;2013;CEF;C03070;1
<=10;0;<24, 48];Febrero;2737.88;0;0;26/02/2014;17;MCO  Msj Con Conyuge;36445.9;BT;2013;CEF;C03072;1
>10;0;>48;Febrero;233.36;0;0;10/02/2014;18;PDP  Promesa De Pago;3155.2;BT;2011;CEF;C03074;0
>10;0;<24, 48];Febrero;258.37;254.51;72.35;6/02/2014;14;MCT  Msj Con Terceros;2308.26;BT;2011;CNE;C03075;0
<=10;1;>48;Febrero;1671.03;2346.76;4034.42;13/02/2014;14;RPP  Recordar Promesa;69116.9;BT;2013;CEF;C03077;0
<=10;0;<24, 48];Febrero;350.57;0;0;3/02/2014;15;MCT  Msj Con Terceros;11639.9;BT;2013;CNE;C03079;0
<=10;0;<=24;Febrero;850.15;864.14;864.14;17/02/2014;18;MCT  Msj Con Terceros;849.22;BT;2014;CNE;C03080;0
<=10;0;<24, 48];Febrero;1603.51;0;0;5/02/2014;15;MCE  Msj Con Empleada;11370.2;BT;2013;CNE;C03082;1
<=10;0;<24, 48];Febrero;1603.51;0;0;11/02/2014;8;MCF  Msj Con Familiar;11370.2;BT;2013;CNE;C03083;1
