ID.Cliente;Genero;Mayor65años;Socio;Dependientes;pemanencia;PhoneService;MultipleLineas;Internet;SeguridadOnline;Backup;ProteccionDispositivo;No servicio Internet;TVPago;PeliculasStreaming;TerminoContrato;FactElectronica;MetodoPago;CargoMensual;ImporteTotal;Churn
7979-CORPM;Masculino;0;No;No;24;Si;Si;Fibra Optica;No;Si;No;No;Si;No;Mes a mes;Si;TarjetaCredito (automatico);90.55;2282.55;Si
2294-DMMUS;Femenino;0;Si;Si;62;Si;Si;DSL;No;No;No;No;Si;Si;Mes a mes;Si;TarjetaCredito (automatico);70.45;4300.45;No
0872-JCPIB;Masculino;0;No;No;17;Si;Si;DSL;Si;No;No;No;No;Si;Mes a mes;No;TransfBanca (automatica);65.75;1111.2;No
3055-MJDSB;Masculino;0;No;No;9;No;No servicio tel;DSL;No;No;No;No;No;No;Mes a mes;Si;Cheque fisico;24.6;190.1;No
9091-WTUUY;Masculino;0;Si;Si;64;Si;No;DSL;Si;No;Si;Si;Si;No;Dos años;No;Cheque fisico;69.25;4447.75;No
1618-CFHME;Femenino;0;No;No;2;Si;Si;Fibra Optica;No;No;No;No;No;No;Mes a mes;Si;Cheque electronico;75.9;143.35;Si
3165-HDOEW;Masculino;0;Si;Si;1;Si;No;DSL;No;No;No;No;No;No;Mes a mes;Si;Cheque fisico;45.85;45.85;Si
6581-NQCBA;Femenino;0;Si;No;16;No;No servicio tel;DSL;No;No;No;Si;Si;Si;Mes a mes;Si;Cheque electronico;49.95;810.2;Si
7115-IRDHS;Femenino;0;Si;No;72;Si;Si;No;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;Dos años;No;TransfBanca (automatica);24.65;1830.05;No
8496-DMZUK;Masculino;0;No;No;30;Si;Si;Fibra Optica;Si;Si;Si;No;No;No;Un año;No;TransfBanca (automatica);90.4;2820.65;No
2040-VZIKE;Femenino;0;Si;No;49;Si;Si;Fibra Optica;Si;No;No;No;Si;Si;Mes a mes;Si;Cheque fisico;100.85;4847.35;No
9068-VPWQQ;Masculino;0;Si;No;61;Si;Si;DSL;Si;No;Si;Si;No;Si;Dos años;No;TarjetaCredito (automatico);75.35;4729.3;No
0178-SZBHO;Masculino;0;Si;Si;47;Si;Si;Fibra Optica;No;Si;No;No;Si;No;Mes a mes;No;Cheque electronico;87.2;4017.45;No
0384-RVBPI;Masculino;0;No;No;20;Si;No;DSL;Si;No;Si;No;No;Si;Mes a mes;No;TarjetaCredito (automatico);64.4;1398.6;No
1689-MRZQR;Masculino;0;Si;Si;34;Si;No;Fibra Optica;No;No;No;No;Si;No;Mes a mes;No;Cheque electronico;78.3;2564.3;Si
1299-AURJA;Femenino;0;Si;Si;70;Si;Si;No;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;Dos años;No;TransfBanca (automatica);24.7;1685.9;No
4525-VZCZG;Masculino;0;No;Si;54;Si;No;Fibra Optica;Si;Si;No;Si;Si;Si;Un año;Si;Cheque electronico;105.85;5826.65;No
1543-LLLFT;Masculino;1;Si;No;61;Si;Si;Fibra Optica;No;Si;Si;Si;Si;No;Un año;Si;Cheque fisico;98.3;6066.55;No
5835-BEQEU;Masculino;0;No;No;3;Si;Si;Fibra Optica;No;No;No;No;No;No;Mes a mes;Si;Cheque electronico;76.95;228.4;Si
2788-CJQAQ;Masculino;0;No;No;13;Si;No;No;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;Un año;No;Cheque fisico;19.45;270.2;No
5565-FILXA;Femenino;1;No;No;16;Si;Si;Fibra Optica;No;No;No;No;Si;Si;Mes a mes;Si;Cheque electronico;96.15;1529.2;Si
0319-QZTCO;Femenino;0;Si;Si;3;Si;No;DSL;No;Si;No;No;Si;No;Mes a mes;Si;TarjetaCredito (automatico);58.7;168.6;No
2120-SMPEX;Masculino;0;No;No;25;Si;No;No;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;Mes a mes;Si;Cheque fisico;20.15;536.35;No
0096-FCPUF;Masculino;0;No;No;30;Si;Si;DSL;Si;No;No;No;No;Si;Mes a mes;Si;Cheque fisico;64.5;1888.45;No
0668-OGMHD;Femenino;0;Si;No;21;No;No servicio tel;DSL;Si;No;No;No;No;No;Mes a mes;No;Cheque electronico;28.5;629.35;No
5552-ZNFSJ;Masculino;0;No;No;1;Si;No;DSL;No;No;No;No;No;No;Mes a mes;No;Cheque electronico;45.3;45.3;Si
2223-KAGMX;Femenino;0;No;No;15;Si;No;No;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;Mes a mes;No;TransfBanca (automatica);19.4;289.3;Si
6507-ZJSUR;Masculino;1;Si;No;23;Si;No;Fibra Optica;No;No;No;No;Si;Si;Mes a mes;Si;Cheque electronico;90.45;2117.25;No
9408-HRXRK;Femenino;0;Si;Si;45;Si;Si;Fibra Optica;Si;Si;No;No;Si;Si;Mes a mes;Si;Cheque electronico;105.15;4730.9;No
5593-SUAOO;Femenino;0;Si;Si;24;Si;Si;Fibra Optica;No;Si;Si;No;No;No;Un año;No;TransfBanca (automatica);83.15;2033.05;No
7321-PKUYW;Femenino;0;No;No;11;Si;Si;Fibra Optica;No;No;No;Si;Si;No;Mes a mes;No;Cheque electronico;90.15;987.95;Si
2833-SLKDQ;Masculino;0;No;No;1;Si;No;DSL;No;No;No;No;No;No;Mes a mes;No;Cheque fisico;45.05;45.05;Si
6766-HFKLA;Femenino;0;Si;No;56;Si;Si;Fibra Optica;No;No;Si;Si;Si;Si;Dos años;No;TransfBanca (automatica);103.2;5744.35;No
7595-EUIVN;Femenino;0;No;No;1;Si;No;Fibra Optica;No;Si;No;No;No;No;Mes a mes;No;Cheque electronico;75.8;75.8;Si
7617-EYGLW;Masculino;0;No;No;1;Si;No;No;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;Mes a mes;No;Cheque electronico;19.45;19.45;No
2026-TGDHM;Femenino;0;No;No;7;Si;No;Fibra Optica;No;No;No;No;No;Si;Mes a mes;Si;Cheque electronico;79.3;523.15;Si
9220-ZNKJI;Femenino;1;Si;No;55;Si;No;Fibra Optica;No;No;Si;Si;Si;No;Dos años;No;TarjetaCredito (automatico);88.8;4805.3;No
4030-VPZBD;Femenino;0;No;No;2;No;No servicio tel;DSL;No;No;No;Si;No;No;Mes a mes;Si;Cheque electronico;30.9;59.05;Si
2226-ICFDO;Femenino;0;Si;Si;72;Si;Si;DSL;Si;No;Si;Si;Si;Si;Dos años;Si;TarjetaCredito (automatico);85.9;6110.75;No
0723-VSOBE;Femenino;1;No;No;45;No;No servicio tel;DSL;No;No;No;No;No;Si;Un año;No;Cheque electronico;34.2;1596.6;No
5529-GIBVH;Femenino;0;No;No;47;Si;No;No;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;Dos años;No;Cheque fisico;20.15;1046.2;No
4187-CINZD;Femenino;1;No;No;46;Si;No;Fibra Optica;No;Si;No;No;Si;Si;Un año;No;TarjetaCredito (automatico);95.25;4424.2;Si
9992-UJOEL;Masculino;0;No;No;2;Si;No;DSL;No;Si;No;No;No;No;Mes a mes;Si;Cheque fisico;50.3;92.75;No
4741-WWJQZ;Femenino;0;Si;No;2;Si;No;Fibra Optica;Si;No;No;Si;No;No;Mes a mes;Si;Cheque electronico;80.15;194.55;No
6625-UTXEW;Femenino;0;Si;No;12;Si;No;DSL;No;Si;No;No;No;No;Mes a mes;Si;Cheque electronico;51.25;612.1;No
6818-WOBHJ;Femenino;1;Si;No;68;Si;Si;Fibra Optica;No;Si;No;No;No;Si;Mes a mes;Si;TransfBanca (automatica);89.6;6127.6;Si
6244-BESBM;Masculino;0;Si;Si;69;Si;No;Fibra Optica;No;No;No;Si;Si;Si;Dos años;Si;TarjetaCredito (automatico);95.2;6671.7;No
1004-NOZNR;Masculino;1;No;Si;56;Si;No;Fibra Optica;Si;No;No;No;Si;Si;Un año;No;TarjetaCredito (automatico);94.8;5264.3;No
1251-STYSZ;Femenino;1;No;No;4;Si;Si;Fibra Optica;Si;No;No;No;No;No;Mes a mes;Si;Cheque electronico;80.25;303.7;No
2612-PHGOX;Masculino;0;Si;No;64;Si;Si;DSL;No;Si;Si;Si;Si;No;Dos años;Si;TransfBanca (automatica);76.1;4818.8;No
2408-TZMJL;Masculino;0;Si;No;59;Si;Si;Fibra Optica;Si;Si;Si;No;Si;Si;Un año;Si;Cheque electronico;110.15;6448.05;Si
8480-PPONV;Masculino;0;Si;Si;62;Si;Si;Fibra Optica;Si;Si;Si;Si;Si;Si;Dos años;No;TransfBanca (automatica);115.55;7159.05;No
8780-IHCRN;Masculino;0;Si;Si;63;Si;Si;No;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;Dos años;No;TarjetaCredito (automatico);24.65;1574.5;No
4598-ZADCK;Femenino;0;No;No;53;No;No servicio tel;DSL;Si;Si;Si;Si;Si;No;Un año;Si;Cheque electronico;53.6;2879.2;No
1257-SXUXQ;Masculino;0;Si;Si;5;Si;No;No;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;Mes a mes;No;Cheque fisico;19.45;86.05;No
9681-KYGYB;Masculino;1;Si;No;49;Si;Si;Fibra Optica;Si;Si;Si;No;No;No;Mes a mes;Si;Cheque electronico;88.2;4159.45;No
7182-OVLBJ;Femenino;0;Si;Si;62;Si;Si;Fibra Optica;Si;No;No;No;Si;Si;Dos años;Si;TransfBanca (automatica);101.15;6638.35;No
5095-ETBRJ;Femenino;0;Si;No;55;Si;No;DSL;Si;Si;No;Si;No;No;Dos años;No;Cheque fisico;56.8;3112.05;No
7005-CYUIL;Femenino;1;Si;No;71;Si;No;Fibra Optica;Si;Si;Si;Si;Si;No;Dos años;Si;Cheque electronico;99.4;7168.25;No
4821-WQOYN;Femenino;0;Si;Si;72;Si;No;No;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;Dos años;Si;TarjetaCredito (automatico);20.1;1326.25;No
4730-AWNAU;Masculino;0;Si;Si;36;No;No servicio tel;DSL;Si;No;Si;Si;Si;Si;Un año;No;TarjetaCredito (automatico);60.7;2234.55;No
3452-FLHYD;Masculino;0;Si;No;25;Si;No;No;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;Un año;Si;TransfBanca (automatica);20.95;495.15;No
2388-LAESQ;Femenino;1;Si;No;72;Si;Si;Fibra Optica;Si;Si;Si;Si;Si;Si;Dos años;Si;TransfBanca (automatica);114.85;8317.95;No
9531-NSBMR;Femenino;0;No;No;36;Si;No;No;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;Un año;Si;TransfBanca (automatica);19.25;679.8;No
6260-ONULR;Masculino;0;No;No;1;Si;No;DSL;No;No;No;No;Si;Si;Mes a mes;Si;Cheque fisico;62.8;62.8;No
4389-UEFCZ;Femenino;0;Si;No;72;Si;Si;Fibra Optica;Si;No;Si;No;Si;Si;Dos años;Si;Cheque electronico;105.5;7544;No
8711-LOBKY;Masculino;0;Si;Si;59;Si;No;No;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;Dos años;No;Cheque fisico;19.85;1188.25;No
9134-CEQMF;Masculino;1;Si;No;7;Si;No;Fibra Optica;No;No;No;No;Si;Si;Mes a mes;Si;Cheque electronico;89.5;676.7;Si
8985-OOPOS;Femenino;0;No;No;1;Si;No;DSL;No;No;Si;Si;Si;Si;Un año;No;TarjetaCredito (automatico);74.1;74.1;No
8800-ZKRFW;Femenino;0;Si;Si;30;Si;Si;Fibra Optica;No;Si;Si;Si;Si;Si;Mes a mes;Si;Cheque electronico;107.5;3242.5;No
2616-FLVQC;Masculino;0;No;No;64;Si;No;No;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;Dos años;No;Cheque fisico;19.55;1240.15;No
9968-FFVVH;Masculino;0;No;No;63;Si;Si;DSL;Si;Si;Si;Si;No;No;Un año;No;TransfBanca (automatica);68.8;4111.35;No
3108-PCCGG;Masculino;1;Si;No;72;Si;Si;DSL;Si;Si;Si;No;Si;Si;Dos años;No;TarjetaCredito (automatico);84.45;5899.85;No
7993-PYKOF;Masculino;0;Si;No;8;Si;No;Fibra Optica;Si;No;No;No;No;No;Mes a mes;No;Cheque electronico;75;632.95;Si
8390-FESFV;Femenino;0;No;No;62;Si;Si;DSL;No;Si;Si;Si;Si;Si;Dos años;No;TransfBanca (automatica);84.5;5193.2;No
3022-BEXHZ;Masculino;0;Si;Si;67;Si;Si;Fibra Optica;No;Si;Si;Si;Si;Si;Dos años;Si;TransfBanca (automatica);111.2;7530.8;No
5027-XWQHA;Masculino;0;No;No;6;Si;No;DSL;No;No;No;No;No;No;Mes a mes;No;Cheque electronico;44.75;270.95;Si
6248-TKCQV;Femenino;0;Si;Si;70;Si;Si;DSL;Si;No;No;Si;Si;Si;Dos años;Si;TransfBanca (automatica);80.6;5460.2;No
6729-GDNGC;Femenino;1;No;No;20;Si;No;Fibra Optica;No;No;No;No;Si;No;Mes a mes;No;TransfBanca (automatica);80.7;1614.2;No
6198-ZFIOJ;Femenino;0;No;No;5;Si;Si;Fibra Optica;No;No;No;No;No;No;Mes a mes;No;Cheque electronico;75.6;402.5;No
5989-OMNJE;Femenino;0;Si;Si;24;No;No servicio tel;DSL;Si;Si;Si;No;Si;Si;Un año;No;Cheque electronico;57.6;1367.75;No
4566-QVRRW;Femenino;0;Si;No;11;Si;No;DSL;No;No;No;No;No;No;Mes a mes;Si;Cheque electronico;44.05;483.7;Si
1291-CUOCY;Masculino;0;Si;No;72;Si;Si;Fibra Optica;No;Si;Si;Si;Si;Si;Dos años;Si;TarjetaCredito (automatico);110.6;7962.2;No
9795-SHUHB;Femenino;0;Si;Si;66;Si;No;DSL;Si;Si;No;Si;No;No;Dos años;Si;TarjetaCredito (automatico);58.2;3810.8;No
3230-IUALN;Femenino;0;Si;Si;45;Si;No;DSL;Si;No;Si;Si;Si;Si;Dos años;Si;Cheque fisico;81;3533.6;No
0042-RLHYP;Femenino;0;Si;Si;69;Si;No;No;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;Dos años;No;TransfBanca (automatica);19.7;1396.9;No
8519-IMDHU;Masculino;1;Si;No;15;Si;Si;Fibra Optica;No;No;No;No;No;Si;Mes a mes;Si;TransfBanca (automatica);85.6;1345.55;Si
4945-RVMTE;Femenino;0;No;No;28;Si;No;DSL;No;No;Si;No;Si;No;Mes a mes;Si;TransfBanca (automatica);59.55;1646.45;No
0201-OAMXR;Femenino;0;No;No;70;Si;Si;Fibra Optica;Si;Si;Si;Si;Si;Si;Un año;No;TarjetaCredito (automatico);115.55;8127.6;Si
1866-NXPSP;Femenino;0;No;No;36;Si;No;DSL;Si;Si;Si;Si;No;Si;Un año;Si;Cheque fisico;75.55;2680.15;No
3372-KWFBM;Masculino;1;No;No;16;Si;Si;Fibra Optica;No;No;No;No;Si;No;Mes a mes;Si;Cheque electronico;86.6;1281;Si
7831-QGOXH;Femenino;0;No;No;18;Si;Si;Fibra Optica;No;No;No;No;Si;No;Mes a mes;Si;Cheque electronico;85.2;1553.9;Si
6393-WRYZE;Femenino;0;Si;No;34;Si;Si;Fibra Optica;No;No;No;No;Si;Si;Mes a mes;Si;Cheque electronico;97.65;3207.55;Si
3941-XTSKM;Masculino;0;Si;Si;42;No;No servicio tel;DSL;No;Si;Si;No;No;Si;Un año;Si;TarjetaCredito (automatico);45.1;2049.05;No
1661-CZBAU;Masculino;0;No;No;48;Si;Si;DSL;Si;No;No;Si;No;Si;Un año;Si;TransfBanca (automatica);70.95;3629.2;No
6599-RCLCJ;Masculino;0;Si;No;47;Si;Si;Fibra Optica;No;Si;Si;Si;Si;Si;Mes a mes;Si;Cheque electronico;109.55;5124.55;Si
9831-BPFRI;Femenino;0;Si;Si;39;Si;Si;Fibra Optica;No;Si;Si;Si;No;No;Un año;Si;Cheque electronico;89.55;3474.45;Si
5158-RIVOP;Femenino;0;Si;Si;11;Si;No;No;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;Dos años;No;TarjetaCredito (automatico);20.9;202.3;No
9788-YTFGE;Masculino;0;No;No;7;Si;No;No;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;Mes a mes;Si;Cheque fisico;19.95;147.5;No
9277-JOOMO;Femenino;0;No;No;3;Si;Si;No;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;Mes a mes;No;Cheque fisico;24.6;86.35;No
1907-YLNYW;Masculino;0;No;No;8;Si;No;DSL;Si;No;Si;No;No;Si;Mes a mes;Si;Cheque electronico;66.7;579;No
1725-MIMXW;Masculino;0;No;Si;1;Si;No;No;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;Mes a mes;Si;Cheque fisico;19.45;19.45;Si
8947-YRTDV;Masculino;0;Si;Si;32;Si;No;Fibra Optica;Si;Si;Si;No;No;Si;Un año;No;Cheque fisico;94.8;3131.55;No
3161-ONRWK;Masculino;0;Si;Si;60;Si;No;DSL;Si;Si;Si;Si;No;No;Un año;Si;TransfBanca (automatica);65.85;3928.3;No
0114-RSRRW;Femenino;0;Si;No;10;Si;No;No;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;Mes a mes;Si;TransfBanca (automatica);19.95;187.75;No
4565-NLZBV;Femenino;0;Si;No;71;Si;Si;No;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;Dos años;Si;TransfBanca (automatica);24.65;1710.15;No
0031-PVLZI;Femenino;0;Si;Si;4;Si;No;No;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;Mes a mes;No;Cheque fisico;20.35;76.35;Si
7206-GZCDC;Femenino;1;No;No;1;Si;No;Fibra Optica;No;No;No;No;No;No;Mes a mes;Si;Cheque electronico;69.25;69.25;Si
6682-VCIXC;Femenino;0;Si;Si;43;No;No servicio tel;DSL;Si;Si;No;Si;Si;No;Un año;Si;TransfBanca (automatica);51.25;2151.6;No
4791-QRGMF;Masculino;0;Si;No;59;Si;Si;Fibra Optica;No;No;Si;No;Si;Si;Un año;Si;TransfBanca (automatica);99.5;5961.1;Si
6475-VHUIZ;Femenino;0;Si;No;23;Si;No;DSL;No;No;Si;Si;No;No;Mes a mes;No;Cheque electronico;54.25;1221.55;No
3910-MRQOY;Femenino;0;Si;No;72;Si;No;No;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;Dos años;No;TransfBanca (automatica);19.4;1496.45;No
0661-WCQNQ;Masculino;0;Si;No;22;Si;No;DSL;Si;No;No;Si;No;No;Un año;Si;TarjetaCredito (automatico);56.25;1292.2;No
7537-RBWEA;Femenino;0;No;No;1;No;No servicio tel;DSL;No;No;No;No;No;No;Mes a mes;Si;Cheque fisico;25.15;25.15;No
4656-CAURT;Masculino;0;No;No;69;Si;Si;No;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;Dos años;No;TransfBanca (automatica);23.95;1713.1;No
0121-SNYRK;Masculino;0;No;No;50;No;No servicio tel;DSL;Si;No;No;Si;No;No;Un año;Si;Cheque fisico;35.4;1748.9;No
1768-ZAIFU;Femenino;1;No;No;1;No;No servicio tel;DSL;No;No;No;No;No;No;Mes a mes;Si;Cheque electronico;25.2;25.2;Si
4671-LXRDQ;Masculino;0;No;No;2;Si;No;DSL;No;No;No;No;No;No;Mes a mes;Si;Cheque fisico;45;96.45;Si
3733-LSYCE;Femenino;0;Si;No;15;Si;No;Fibra Optica;No;Si;No;No;No;No;Mes a mes;No;TransfBanca (automatica);75.35;1114.55;No
6265-FRMTQ;Masculino;0;No;No;31;Si;No;No;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;Dos años;No;TransfBanca (automatica);20.4;609.1;No
1934-SJVJK;Masculino;0;No;No;1;Si;No;No;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;Mes a mes;No;Cheque fisico;20.15;20.15;Si
3838-OZURD;Masculino;0;Si;No;66;Si;Si;Fibra Optica;No;Si;Si;No;Si;Si;Mes a mes;Si;TarjetaCredito (automatico);105;7133.25;Si
1371-DWPAZ;Femenino;0;Si;Si;0;No;No servicio tel;DSL;Si;Si;Si;Si;Si;No;Dos años;No;TarjetaCredito (automatico);56.05; ;No
9269-CQOOL;Masculino;0;No;Si;3;Si;No;DSL;No;No;No;No;Si;No;Mes a mes;Si;TarjetaCredito (automatico);54.7;169.45;Si
2017-CCBLH;Femenino;0;No;No;8;Si;No;No;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;Dos años;No;Cheque fisico;20;141.6;No
7690-KPNCU;Masculino;0;Si;Si;64;Si;No;DSL;Si;No;Si;No;Si;Si;Un año;Si;TarjetaCredito (automatico);73.05;4688.65;No
0536-BGFMZ;Femenino;0;Si;No;28;Si;No;No;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;Mes a mes;No;Cheque fisico;20.5;563.05;No
2293-IJWPS;Femenino;0;Si;No;57;Si;Si;Fibra Optica;No;No;Si;No;Si;Si;Un año;Si;TarjetaCredito (automatico);100.75;5985;No
2845-HSJCY;Femenino;0;Si;Si;14;Si;Si;Fibra Optica;No;No;Si;No;No;Si;Mes a mes;Si;Cheque electronico;87.25;1258.6;Si
5469-NUJUR;Masculino;0;No;No;19;Si;No;No;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;Dos años;Si;Cheque fisico;19.95;373.5;No
1184-PJVDB;Masculino;0;Si;No;10;Si;No;Fibra Optica;No;No;No;No;Si;No;Mes a mes;Si;Cheque electronico;79.95;857.2;Si
2625-TRCZQ;Femenino;0;Si;No;51;No;No servicio tel;DSL;No;Si;No;No;Si;Si;Mes a mes;Si;Cheque electronico;49.65;2553.35;No
4102-HLENU;Femenino;0;Si;No;67;Si;Si;DSL;Si;Si;Si;No;No;No;Dos años;No;Cheque fisico;65.65;4322.85;No
7266-GSSJX;Masculino;0;Si;Si;11;Si;No;No;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;Mes a mes;Si;Cheque electronico;20.45;250.8;No
7722-VJRQD;Masculino;0;Si;Si;72;No;No servicio tel;DSL;Si;No;Si;Si;Si;Si;Dos años;No;TransfBanca (automatica);60.95;4549.05;No
7073-QETQY;Masculino;0;Si;Si;66;Si;No;No;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;Un año;Si;Cheque electronico;20.35;1359.5;No
9415-DPEWS;Femenino;0;No;No;18;Si;Si;Fibra Optica;No;No;No;Si;Si;No;Mes a mes;Si;Cheque electronico;88.35;1639.3;Si
5624-RYAMH;Femenino;0;No;No;9;Si;No;No;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;Mes a mes;Si;Cheque electronico;19.5;178.85;No
0196-JTUQI;Femenino;0;No;No;9;Si;Si;Fibra Optica;No;No;No;No;No;No;Mes a mes;Si;TarjetaCredito (automatico);75.2;633.85;No
7130-YXBRO;Masculino;0;Si;No;48;Si;Si;Fibra Optica;Si;Si;Si;No;Si;Si;Mes a mes;Si;TransfBanca (automatica);111.45;5315.1;No
9272-LSVYH;Masculino;0;No;No;10;Si;No;Fibra Optica;No;No;No;No;No;No;Mes a mes;No;Cheque fisico;70.15;735.5;No
7943-RQCHR;Femenino;0;No;No;9;Si;Si;Fibra Optica;No;No;No;No;Si;Si;Mes a mes;Si;Cheque electronico;94.75;889.9;Si
3793-MMFUH;Femenino;1;No;No;13;Si;Si;Fibra Optica;No;No;No;No;Si;Si;Mes a mes;Si;Cheque electronico;95.05;1290;Si
3249-ZPQRG;Masculino;0;No;No;4;Si;Si;Fibra Optica;No;Si;No;No;No;No;Mes a mes;No;Cheque electronico;78.45;330.05;Si
2568-BRGYX;Masculino;0;No;No;4;Si;No;Fibra Optica;No;No;No;No;No;No;Mes a mes;Si;Cheque electronico;70.2;237.95;Si
3084-DOWLE;Femenino;0;Si;No;72;Si;Si;DSL;Si;Si;Si;Si;Si;Si;Dos años;No;TransfBanca (automatica);92;6474.4;No
1084-MNSMJ;Femenino;0;Si;Si;51;Si;No;DSL;Si;Si;Si;Si;Si;Si;Dos años;No;TarjetaCredito (automatico);85.5;4421.95;No
7721-JXEAW;Masculino;0;Si;No;59;No;No servicio tel;DSL;No;Si;No;No;No;Si;Mes a mes;Si;TransfBanca (automatica);41.05;2452.7;Si
7249-WBIYX;Masculino;0;Si;No;10;Si;Si;Fibra Optica;No;No;No;No;Si;No;Mes a mes;Si;Cheque electronico;85.6;813.85;Si
4238-HFHSN;Masculino;1;Si;No;61;Si;Si;Fibra Optica;No;Si;No;No;No;No;Mes a mes;Si;Cheque electronico;82.15;4904.85;No
6250-CGGUN;Masculino;0;No;No;54;Si;No;Fibra Optica;Si;No;Si;Si;No;No;Un año;No;Cheque electronico;84.4;4484.05;No
5478-JJVZK;Femenino;0;No;No;33;Si;Si;DSL;Si;Si;No;No;No;No;Mes a mes;Si;Cheque fisico;60.9;2033.85;No
7596-IIWYC;Femenino;0;No;No;27;Si;No;No;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;Dos años;Si;TransfBanca (automatica);20.25;538.2;No
6567-HOOPW;Femenino;1;No;No;1;Si;No;Fibra Optica;No;No;No;No;Si;No;Mes a mes;Si;Cheque electronico;79.2;79.2;Si
9793-WECQC;Masculino;0;No;No;23;Si;No;Fibra Optica;No;Si;No;No;Si;Si;Mes a mes;No;Cheque fisico;95.3;2192.9;No
4291-HPAXL;Masculino;0;No;Si;1;Si;No;No;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;Mes a mes;No;Cheque fisico;19.85;19.85;No
8999-YPYBV;Masculino;0;Si;Si;45;Si;No;DSL;Si;Si;Si;Si;Si;Si;Dos años;Si;Cheque fisico;84.35;3858.05;No
1839-FBNFR;Femenino;0;Si;Si;39;Si;No;No;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;Dos años;Si;TransfBanca (automatica);19.85;854.8;No
3164-AALRN;Masculino;0;No;No;5;Si;No;DSL;No;No;Si;No;Si;Si;Un año;Si;Cheque fisico;70;347.4;Si
3071-MVJCD;Masculino;0;Si;Si;72;Si;Si;DSL;Si;Si;Si;Si;Si;No;Dos años;No;TransfBanca (automatica);82.3;5815.15;No
1697-BCSHV;Femenino;0;Si;Si;58;Si;Si;DSL;No;Si;No;No;Si;No;Mes a mes;Si;TransfBanca (automatica);66.8;3970.4;No
0562-KBDVM;Femenino;0;No;No;70;No;No servicio tel;DSL;Si;Si;Si;Si;No;No;Dos años;Si;TransfBanca (automatica);44.6;3058.15;No
1131-SUEKT;Masculino;0;Si;Si;61;Si;No;Fibra Optica;No;Si;No;Si;Si;Si;Un año;Si;TransfBanca (automatica);98.45;6145.2;No
